Turbine_exit_pressure_bar,Turbine_exit_temperature_C,Ship_speed_knots,output_power
1.66,651.0,12.0,2386.039620401448
2.08,720.0,15.0,4342.937684322529
2.96,842.0,21.0,10945.308805106837
3.57,940.0,24.0,16502.78620930718
1.3,610.0,6.0,872.2632002692061
2.08,719.0,15.0,4342.937684322529
2.96,841.0,21.0,10945.308805106837
3.57,939.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.25,615.0,3.0,670.8242793210285
1.29,601.0,6.0,828.4379827516285
1.39,594.0,9.0,1219.7966515848211
2.96,840.0,21.0,10945.308805106837
3.56,938.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.65,648.0,12.0,2386.039620401448
2.5,784.0,18.0,7208.698502927139
2.95,839.0,21.0,10945.308805106837
3.56,937.0,24.0,16502.78620930718
1.18,551.0,3.0,362.16280110583136
1.28,594.0,6.0,793.0950653987433
1.39,593.0,9.0,1219.7966515848211
2.5,783.0,18.0,7208.698502927139
2.95,838.0,21.0,10945.308805106837
4.48,1100.0,27.0,27140.00949485198
1.15,522.0,3.0,240.07003861182
1.39,592.0,9.0,1219.7966515848211
1.65,646.0,12.0,2386.039620401448
2.07,715.0,15.0,4342.937684322529
2.5,782.0,18.0,7208.698502927139
2.95,837.0,21.0,10945.308805106837
4.48,1100.0,27.0,27140.00949485198
1.39,591.0,9.0,1219.7966515848211
1.65,646.0,12.0,2386.039620401448
2.07,714.0,15.0,4342.937684322529
2.5,781.0,18.0,7208.698502927139
2.95,836.0,21.0,10945.308805106837
3.56,934.0,24.0,16502.78620930718
1.27,580.0,6.0,732.3052475517808
1.39,590.0,9.0,1219.7966515848211
1.65,645.0,12.0,2386.039620401448
2.07,713.0,15.0,4342.937684322529
2.95,835.0,21.0,10945.308805106837
4.47,1100.0,27.0,27140.00949485198
1.1,451.0,3.0,44.390704195223776
1.27,581.0,6.0,739.3738310223578
1.65,644.0,12.0,2386.039620401448
2.07,712.0,15.0,4342.937684322529
2.49,778.0,18.0,7208.698502927139
4.47,1100.0,27.0,27140.00949485198
1.1,455.0,3.0,70.78217688048045
1.26,569.0,6.0,677.767199085462
1.39,589.0,9.0,1219.7966515848211
1.65,643.0,12.0,2386.039620401448
2.49,777.0,18.0,7208.698502927139
2.95,833.0,21.0,10945.308805106837
3.56,931.0,24.0,16502.78620930718
4.47,1100.0,27.0,27140.00949485198
1.26,567.0,6.0,673.5574649296516
1.39,588.0,9.0,1219.7966515848211
2.07,710.0,15.0,4342.937684322529
3.56,930.0,24.0,16502.78620930718
4.47,1100.0,27.0,27140.00949485198
1.12,464.0,3.0,126.30459104492404
1.26,566.0,6.0,669.3477307738412
1.39,587.0,9.0,1219.7966515848211
2.07,709.0,15.0,4342.937684322529
2.95,831.0,21.0,10945.308805106837
3.56,929.0,24.0,16502.78620930718
4.47,1100.0,27.0,27140.00949485198
1.25,556.0,6.0,623.0406550599278
1.13,470.0,3.0,160.40972089229484
1.24,548.0,6.0,586.5562923762384
1.39,586.0,9.0,1219.7966515848211
2.07,707.0,15.0,4342.937684322529
2.95,829.0,21.0,10945.308805106837
1.1,478.0,3.0,55.15380062642241
1.39,606.0,9.0,1219.7966515848211
1.66,661.0,12.0,2386.039620401448
2.08,731.0,15.0,4342.937684322529
2.5,800.0,18.0,7208.698502927139
4.5,1110.0,27.0,27140.00949485198
1.1,464.0,3.0,58.961410922573236
1.33,635.0,6.0,991.350505791283
1.39,605.0,9.0,1219.7966515848211
1.66,660.0,12.0,2386.039620401448
2.5,799.0,18.0,7208.698502927139
1.11,470.0,3.0,94.40067045016849
1.32,633.0,6.0,974.1450500251232
1.39,604.0,9.0,1219.7966515848211
2.5,798.0,18.0,7208.698502927139
2.96,852.0,21.0,10945.308805106837
3.58,949.0,24.0,16502.78620930718
1.32,632.0,6.0,969.872484016241
1.39,603.0,9.0,1219.7966515848211
2.08,728.0,15.0,4342.937684322529
2.5,796.0,18.0,7208.698502927139
2.96,851.0,21.0,10945.308805106837
4.5,1110.0,27.0,27140.00949485198
1.15,496.0,3.0,227.2418686096617
1.32,631.0,6.0,968.4482953466136
1.39,602.0,9.0,1219.7966515848211
2.08,727.0,15.0,4342.937684322529
2.96,850.0,21.0,10945.308805106837
4.49,1110.0,27.0,27140.00949485198
1.32,628.0,6.0,951.3580313110851
1.66,657.0,12.0,2386.039620401448
2.96,849.0,21.0,10945.308805106837
3.57,946.0,24.0,16502.78620930718
1.66,656.0,12.0,2386.039620401448
2.5,793.0,18.0,7208.698502927139
3.57,945.0,24.0,16502.78620930718
4.49,1110.0,27.0,27140.00949485198
1.32,624.0,6.0,941.3887106236936
2.08,724.0,15.0,4342.937684322529
2.96,847.0,21.0,10945.308805106837
4.49,1110.0,27.0,27140.00949485198
2.5,791.0,18.0,7208.698502927139
3.57,943.0,24.0,16502.78620930718
1.27,593.0,3.0,720.5556910273549
1.31,617.0,6.0,897.7101007632833
1.39,598.0,9.0,1219.7966515848211
1.66,653.0,12.0,2386.039620401448
2.08,722.0,15.0,4342.937684322529
2.5,790.0,18.0,7208.698502927139
2.96,845.0,21.0,10945.308805106837
4.49,1110.0,27.0,27140.00949485198
1.29,612.0,3.0,819.4844436888976
1.66,652.0,12.0,2386.039620401448
2.08,721.0,15.0,4342.937684322529
2.5,789.0,18.0,7208.698502927139
2.96,844.0,21.0,10945.308805106837
3.57,941.0,24.0,16502.78620930718
1.33,649.0,3.0,997.0891483718405
1.39,596.0,9.0,1219.7966515848211
2.08,720.0,15.0,4342.937684322529
2.96,843.0,21.0,10945.308805106837
3.57,940.0,24.0,16502.78620930718
4.49,1100.0,27.0,27140.00949485198
1.33,672.0,3.0,1061.020558872393
1.66,650.0,12.0,2386.039620401448
2.5,786.0,18.0,7208.698502927139
2.96,842.0,21.0,10945.308805106837
4.48,1100.0,27.0,27140.00949485198
1.32,667.0,3.0,997.7069949270466
1.39,595.0,9.0,1219.7966515848211
1.66,649.0,12.0,2386.039620401448
2.5,785.0,18.0,7208.698502927139
2.96,841.0,21.0,10945.308805106837
4.48,1100.0,27.0,27140.00949485198
1.28,596.0,6.0,800.1636488693202
1.39,594.0,9.0,1219.7966515848211
1.66,649.0,12.0,2386.039620401448
2.08,717.0,15.0,4342.937684322529
2.5,784.0,18.0,7208.698502927139
3.56,937.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.28,590.0,6.0,769.0618815987814
1.66,648.0,12.0,2386.039620401448
2.5,783.0,18.0,7208.698502927139
3.56,936.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.27,584.0,6.0,742.2012644105887
1.39,592.0,9.0,1219.7966515848211
1.65,647.0,12.0,2386.039620401448
2.07,715.0,15.0,4342.937684322529
1.27,584.0,6.0,749.2698478811656
2.07,714.0,15.0,4342.937684322529
2.95,837.0,21.0,10945.308805106837
3.56,934.0,24.0,16502.78620930718
1.12,492.0,3.0,133.80671430169645
2.5,780.0,18.0,7208.698502927139
3.56,933.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
2.5,779.0,18.0,7208.698502927139
2.95,835.0,21.0,10945.308805106837
1.25,562.0,6.0,638.4763469645657
1.65,643.0,12.0,2386.039620401448
2.07,711.0,15.0,4342.937684322529
2.5,778.0,18.0,7208.698502927139
1.11,455.0,3.0,73.91539195366066
1.39,588.0,9.0,1219.7966515848211
1.65,642.0,12.0,2386.039620401448
2.07,710.0,15.0,4342.937684322529
2.49,777.0,18.0,7208.698502927139
3.56,930.0,24.0,16502.78620930718
1.12,463.0,3.0,117.21177470788398
1.25,557.0,6.0,621.6374103413243
1.65,642.0,12.0,2386.039620401448
2.07,710.0,15.0,4342.937684322529
2.49,776.0,18.0,7208.698502927139
4.47,1100.0,27.0,27140.00949485198
1.24,554.0,6.0,611.8146973111002
2.49,775.0,18.0,7208.698502927139
2.95,831.0,21.0,10945.308805106837
1.13,470.0,3.0,158.96458827164352
1.24,546.0,6.0,579.6238445873169
1.39,586.0,9.0,1219.7966515848211
1.65,640.0,12.0,2386.039620401448
2.07,708.0,15.0,4342.937684322529
2.49,774.0,18.0,7208.698502927139
2.95,830.0,21.0,10945.308805106837
3.56,927.0,24.0,16502.78620930718
1.39,585.0,9.0,1219.7966515848211
1.65,639.0,12.0,2386.039620401448
2.07,707.0,15.0,4342.937684322529
2.49,773.0,18.0,7208.698502927139
2.95,829.0,21.0,10945.308805106837
3.56,926.0,24.0,16502.78620930718
4.47,1090.0,27.0,27140.00949485198
1.1,477.0,3.0,56.82512791813219
1.39,605.0,9.0,1219.7966515848211
1.66,661.0,12.0,2386.039620401448
2.08,730.0,15.0,4342.937684322529
2.5,799.0,18.0,7208.698502927139
3.58,951.0,24.0,16502.78620930718
4.5,1110.0,27.0,27140.00949485198
1.33,635.0,6.0,995.6544877267011
2.08,729.0,15.0,4342.937684322529
2.96,852.0,21.0,10945.308805106837
3.58,950.0,24.0,16502.78620930718
1.32,632.0,6.0,967.0241066769862
1.66,659.0,12.0,2386.039620401448
2.08,728.0,15.0,4342.937684322529
2.96,851.0,21.0,10945.308805106837
3.58,949.0,24.0,16502.78620930718
4.5,1110.0,27.0,27140.00949485198
1.12,478.0,3.0,134.25282045850622
1.32,629.0,6.0,954.2064086503398
1.66,658.0,12.0,2386.039620401448
2.08,727.0,15.0,4342.937684322529
2.5,796.0,18.0,7208.698502927139
2.96,850.0,21.0,10945.308805106837
3.58,948.0,24.0,16502.78620930718
4.5,1110.0,27.0,27140.00949485198
1.32,627.0,6.0,944.2370879629484
1.39,602.0,9.0,1219.7966515848211
1.66,657.0,12.0,2386.039620401448
2.5,795.0,18.0,7208.698502927139
3.57,947.0,24.0,16502.78620930718
4.5,1110.0,27.0,27140.00949485198
1.39,601.0,9.0,1219.7966515848211
1.66,656.0,12.0,2386.039620401448
2.5,794.0,18.0,7208.698502927139
2.96,848.0,21.0,10945.308805106837
3.57,946.0,24.0,16502.78620930718
1.18,515.0,3.0,326.31722892837183
1.31,620.0,6.0,912.9049372311462
1.39,600.0,9.0,1219.7966515848211
1.66,655.0,12.0,2386.039620401448
3.57,945.0,24.0,16502.78620930718
4.49,1110.0,27.0,27140.00949485198
1.31,620.0,6.0,917.1775032400282
1.39,599.0,9.0,1219.7966515848211
2.08,723.0,15.0,4342.937684322529
2.5,791.0,18.0,7208.698502927139
4.49,1110.0,27.0,27140.00949485198
1.23,555.0,3.0,532.3533471263024
1.3,614.0,6.0,879.3317837397832
1.39,598.0,9.0,1219.7966515848211
1.66,653.0,12.0,2386.039620401448
2.08,722.0,15.0,4342.937684322529
3.57,942.0,24.0,16502.78620930718
4.49,1110.0,27.0,27140.00949485198
1.26,581.0,3.0,661.7241326011301
1.3,611.0,6.0,862.3671834103982
1.66,652.0,12.0,2386.039620401448
2.5,788.0,18.0,7208.698502927139
2.96,843.0,21.0,10945.308805106837
4.49,1100.0,27.0,27140.00949485198
1.39,596.0,9.0,1219.7966515848211
2.08,720.0,15.0,4342.937684322529
2.96,842.0,21.0,10945.308805106837
1.29,599.0,6.0,808.6459490340127
1.39,595.0,9.0,1219.7966515848211
1.66,650.0,12.0,2386.039620401448
2.08,719.0,15.0,4342.937684322529
2.5,786.0,18.0,7208.698502927139
2.96,841.0,21.0,10945.308805106837
4.49,1100.0,27.0,27140.00949485198
1.28,589.0,6.0,757.7521480458581
2.96,840.0,21.0,10945.308805106837
3.57,937.0,24.0,16502.78620930718
1.28,639.0,3.0,818.3220544070692
2.5,784.0,18.0,7208.698502927139
4.48,1100.0,27.0,27140.00949485198
1.27,587.0,6.0,754.9247146576274
2.5,783.0,18.0,7208.698502927139
3.56,935.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.22,590.0,3.0,555.5906607873548
1.66,646.0,12.0,2386.039620401448
2.08,715.0,15.0,4342.937684322529
1.17,542.0,3.0,327.86708130414274
1.26,573.0,6.0,683.3801779598757
1.39,591.0,9.0,1219.7966515848211
2.07,714.0,15.0,4342.937684322529
2.95,836.0,21.0,10945.308805106837
4.48,1100.0,27.0,27140.00949485198
1.39,590.0,9.0,1219.7966515848211
1.65,645.0,12.0,2386.039620401448
2.07,713.0,15.0,4342.937684322529
2.95,835.0,21.0,10945.308805106837
3.56,932.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.1,460.0,3.0,43.03667776152658
1.39,590.0,9.0,1219.7966515848211
1.65,644.0,12.0,2386.039620401448
4.48,1100.0,27.0,27140.00949485198
1.09,454.0,3.0,35.64241585252741
1.25,562.0,6.0,639.879591683169
2.5,777.0,18.0,7208.698502927139
2.95,833.0,21.0,10945.308805106837
4.48,1100.0,27.0,27140.00949485198
1.11,456.0,3.0,80.60907870090932
1.24,551.0,6.0,589.3627818134453
1.39,588.0,9.0,1219.7966515848211
2.07,710.0,15.0,4342.937684322529
2.5,776.0,18.0,7208.698502927139
3.56,929.0,24.0,16502.78620930718
1.24,549.0,6.0,582.3465582204279
1.39,587.0,9.0,1219.7966515848211
1.65,641.0,12.0,2386.039620401448
2.49,775.0,18.0,7208.698502927139
2.95,831.0,21.0,10945.308805106837
3.56,928.0,24.0,16502.78620930718
4.47,1090.0,27.0,27140.00949485198
1.65,640.0,12.0,2386.039620401448
2.07,708.0,15.0,4342.937684322529
2.49,774.0,18.0,7208.698502927139
2.95,830.0,21.0,10945.308805106837
3.56,927.0,24.0,16502.78620930718
4.47,1090.0,27.0,27140.00949485198
1.12,465.0,3.0,136.85405917567857
2.49,773.0,18.0,7208.698502927139
3.56,926.0,24.0,16502.78620930718
1.14,475.0,3.0,189.2285975012252
2.07,706.0,15.0,4342.937684322529
2.95,828.0,21.0,10945.308805106837
3.56,925.0,24.0,16502.78620930718
4.47,1090.0,27.0,27140.00949485198
1.13,517.0,3.0,183.8460020880747
1.39,605.0,9.0,1219.7966515848211
1.66,660.0,12.0,2386.039620401448
2.97,853.0,21.0,10945.308805106837
3.58,950.0,24.0,16502.78620930718
4.5,1110.0,27.0,27140.00949485198
1.1,468.0,3.0,39.852150008337716
1.66,659.0,12.0,2386.039620401448
2.5,798.0,18.0,7208.698502927139
2.97,852.0,21.0,10945.308805106837
1.1,464.0,3.0,65.37025993589643
1.32,630.0,6.0,958.4789746592221
1.39,603.0,9.0,1219.7966515848211
1.66,658.0,12.0,2386.039620401448
2.08,728.0,15.0,4342.937684322529
4.5,1110.0,27.0,27140.00949485198
1.39,602.0,9.0,1219.7966515848211
1.66,657.0,12.0,2386.039620401448
2.08,727.0,15.0,4342.937684322529
2.5,795.0,18.0,7208.698502927139
3.58,947.0,24.0,16502.78620930718
1.13,481.0,3.0,154.6291904096896
1.32,627.0,6.0,945.6612766325757
1.39,601.0,9.0,1219.7966515848211
1.66,656.0,12.0,2386.039620401448
2.5,794.0,18.0,7208.698502927139
2.96,849.0,21.0,10945.308805106837
3.58,946.0,24.0,16502.78620930718
4.5,1110.0,27.0,27140.00949485198
1.14,488.0,3.0,196.50662048204157
1.31,621.0,6.0,911.4807485615186
1.39,600.0,9.0,1219.7966515848211
1.66,656.0,12.0,2386.039620401448
2.08,725.0,15.0,4342.937684322529
2.96,847.0,21.0,10945.308805106837
3.57,945.0,24.0,16502.78620930718
4.5,1110.0,27.0,27140.00949485198
1.3,615.0,6.0,873.6769169633214
1.39,600.0,9.0,1219.7966515848211
2.08,724.0,15.0,4342.937684322529
2.5,792.0,18.0,7208.698502927139
3.57,944.0,24.0,16502.78620930718
1.2,527.0,3.0,389.8088164574215
1.3,614.0,6.0,876.5043503515523
2.08,723.0,15.0,4342.937684322529
2.5,791.0,18.0,7208.698502927139
2.96,845.0,21.0,10945.308805106837
3.57,943.0,24.0,16502.78620930718
4.49,1110.0,27.0,27140.00949485198
1.22,548.0,3.0,501.1259161496199
1.31,616.0,6.0,894.8826673750526
1.39,598.0,9.0,1219.7966515848211
1.66,653.0,12.0,2386.039620401448
2.08,722.0,15.0,4342.937684322529
2.96,844.0,21.0,10945.308805106837
3.57,942.0,24.0,16502.78620930718
1.26,580.0,3.0,661.7241326011301
1.66,652.0,12.0,2386.039620401448
2.08,721.0,15.0,4342.937684322529
2.96,843.0,21.0,10945.308805106837
3.57,941.0,24.0,16502.78620930718
4.49,1100.0,27.0,27140.00949485198
1.66,651.0,12.0,2386.039620401448
2.08,720.0,15.0,4342.937684322529
3.57,940.0,24.0,16502.78620930718
4.49,1100.0,27.0,27140.00949485198
1.29,599.0,6.0,808.6459490340127
2.5,787.0,18.0,7208.698502927139
3.57,939.0,24.0,16502.78620930718
4.49,1100.0,27.0,27140.00949485198
1.33,649.0,3.0,1005.8227759488202
1.39,595.0,9.0,1219.7966515848211
1.66,649.0,12.0,2386.039620401448
2.5,785.0,18.0,7208.698502927139
2.96,840.0,21.0,10945.308805106837
3.57,938.0,24.0,16502.78620930718
1.33,668.0,3.0,1064.5181986933892
1.27,584.0,6.0,735.1326809400116
1.66,648.0,12.0,2386.039620401448
2.96,839.0,21.0,10945.308805106837
4.49,1100.0,27.0,27140.00949485198
1.31,663.0,3.0,978.0615688665985
1.27,586.0,6.0,746.4424144929349
1.39,593.0,9.0,1219.7966515848211
2.08,716.0,15.0,4342.937684322529
2.5,783.0,18.0,7208.698502927139
2.96,838.0,21.0,10945.308805106837
4.48,1100.0,27.0,27140.00949485198
1.28,637.0,3.0,810.0282498015922
1.39,592.0,9.0,1219.7966515848211
1.66,647.0,12.0,2386.039620401448
2.5,782.0,18.0,7208.698502927139
3.57,935.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.24,603.0,3.0,622.8102715986644
1.26,569.0,6.0,662.3315071808241
1.66,646.0,12.0,2386.039620401448
2.5,781.0,18.0,7208.698502927139
3.56,934.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.25,562.0,6.0,632.8633680901519
1.39,591.0,9.0,1219.7966515848211
1.66,645.0,12.0,2386.039620401448
2.96,835.0,21.0,10945.308805106837
3.56,933.0,24.0,16502.78620930718
1.25,560.0,6.0,625.8471444971348
1.39,590.0,9.0,1219.7966515848211
1.65,644.0,12.0,2386.039620401448
2.5,779.0,18.0,7208.698502927139
2.96,834.0,21.0,10945.308805106837
3.56,932.0,24.0,16502.78620930718
1.1,471.0,3.0,70.6355692233129
1.24,549.0,6.0,578.2101278932014
1.39,589.0,9.0,1219.7966515848211
2.5,778.0,18.0,7208.698502927139
2.95,833.0,21.0,10945.308805106837
3.56,931.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.39,588.0,9.0,1219.7966515848211
1.65,642.0,12.0,2386.039620401448
2.07,710.0,15.0,4342.937684322529
2.5,777.0,18.0,7208.698502927139
3.56,930.0,24.0,16502.78620930718
4.48,1090.0,27.0,27140.00949485198
1.1,451.0,3.0,50.0455709716854
1.39,588.0,9.0,1219.7966515848211
1.65,642.0,12.0,2386.039620401448
2.07,709.0,15.0,4342.937684322529
2.95,831.0,21.0,10945.308805106837
4.48,1090.0,27.0,27140.00949485198
1.65,641.0,12.0,2386.039620401448
2.07,708.0,15.0,4342.937684322529
2.95,830.0,21.0,10945.308805106837
4.48,1090.0,27.0,27140.00949485198
1.12,464.0,3.0,130.4954756448128
1.23,537.0,6.0,534.3849103756238
1.39,586.0,9.0,1219.7966515848211
2.07,708.0,15.0,4342.937684322529
2.95,829.0,21.0,10945.308805106837
3.56,927.0,24.0,16502.78620930718
1.13,471.0,3.0,166.19025137490004
1.39,585.0,9.0,1219.7966515848211
1.65,639.0,12.0,2386.039620401448
3.56,926.0,24.0,16502.78620930718
1.14,473.0,3.0,184.86178371273536
1.22,525.0,6.0,489.1459761639308
1.39,584.0,9.0,1219.7966515848211
2.07,706.0,15.0,4342.937684322529
3.56,925.0,24.0,16502.78620930718
4.47,1090.0,27.0,27140.00949485198
1.16,539.0,3.0,267.50661445317087
1.32,633.0,6.0,964.1757293377315
1.39,604.0,9.0,1219.7966515848211
1.66,660.0,12.0,2386.039620401448
2.5,798.0,18.0,7208.698502927139
1.12,501.0,3.0,131.18034284329536
1.32,632.0,6.0,969.872484016241
1.66,659.0,12.0,2386.039620401448
2.08,728.0,15.0,4342.937684322529
2.5,797.0,18.0,7208.698502927139
4.5,1110.0,27.0,27140.00949485198
3.58,947.0,24.0,16502.78620930718
1.66,657.0,12.0,2386.039620401448
2.08,726.0,15.0,4342.937684322529
2.5,795.0,18.0,7208.698502927139
3.58,946.0,24.0,16502.78620930718
1.13,478.0,3.0,142.3455631341535
1.31,622.0,6.0,920.025880579283
1.39,601.0,9.0,1219.7966515848211
1.66,656.0,12.0,2386.039620401448
2.96,848.0,21.0,10945.308805106837
3.58,945.0,24.0,16502.78620930718
4.5,1110.0,27.0,27140.00949485198
1.14,483.0,3.0,173.21694694342924
1.3,616.0,6.0,880.7455004338985
1.39,600.0,9.0,1219.7966515848211
1.66,655.0,12.0,2386.039620401448
2.5,793.0,18.0,7208.698502927139
3.58,944.0,24.0,16502.78620930718
1.16,498.0,3.0,249.23301718479024
1.29,605.0,6.0,822.7831159751668
1.39,599.0,9.0,1219.7966515848211
1.66,654.0,12.0,2386.039620401448
2.08,723.0,15.0,4342.937684322529
3.57,943.0,24.0,16502.78620930718
4.5,1110.0,27.0,27140.00949485198
1.19,520.0,3.0,357.3247484193031
1.3,608.0,6.0,842.5751496927826
1.39,598.0,9.0,1219.7966515848211
1.66,653.0,12.0,2386.039620401448
2.5,790.0,18.0,7208.698502927139
4.49,1100.0,27.0,27140.00949485198
1.21,538.0,3.0,452.0542389005473
1.39,598.0,9.0,1219.7966515848211
1.66,652.0,12.0,2386.039620401448
2.5,789.0,18.0,7208.698502927139
2.96,844.0,21.0,10945.308805106837
3.57,941.0,24.0,16502.78620930718
1.24,563.0,3.0,578.4509833299767
1.28,594.0,6.0,773.3030316811275
1.39,597.0,9.0,1219.7966515848211
1.66,652.0,12.0,2386.039620401448
2.08,720.0,15.0,4342.937684322529
2.5,788.0,18.0,7208.698502927139
2.96,843.0,21.0,10945.308805106837
3.57,940.0,24.0,16502.78620930718
1.26,579.0,3.0,660.2371120784311
1.28,592.0,6.0,769.0618815987814
1.39,596.0,9.0,1219.7966515848211
2.5,787.0,18.0,7208.698502927139
2.96,842.0,21.0,10945.308805106837
3.57,939.0,24.0,16502.78620930718
4.49,1100.0,27.0,27140.00949485198
2.5,786.0,18.0,7208.698502927139
2.96,841.0,21.0,10945.308805106837
4.49,1100.0,27.0,27140.00949485198
1.32,635.0,3.0,941.7761737176363
1.27,581.0,6.0,715.3406472223959
1.39,594.0,9.0,1219.7966515848211
1.66,649.0,12.0,2386.039620401448
2.5,785.0,18.0,7208.698502927139
4.49,1100.0,27.0,27140.00949485198
1.33,660.0,3.0,1046.2760173515446
1.26,578.0,6.0,698.8158698645135
1.39,593.0,9.0,1219.7966515848211
1.66,648.0,12.0,2386.039620401448
2.08,717.0,15.0,4342.937684322529
2.5,784.0,18.0,7208.698502927139
2.96,839.0,21.0,10945.308805106837
3.57,936.0,24.0,16502.78620930718
1.33,668.0,3.0,1039.0817701748242
1.26,571.0,6.0,666.5412413366344
2.5,783.0,18.0,7208.698502927139
2.96,838.0,21.0,10945.308805106837
3.57,935.0,24.0,16502.78620930718
4.49,1100.0,27.0,27140.00949485198
1.39,592.0,9.0,1219.7966515848211
2.5,782.0,18.0,7208.698502927139
2.96,837.0,21.0,10945.308805106837
3.57,934.0,24.0,16502.78620930718
1.39,591.0,9.0,1219.7966515848211
1.66,645.0,12.0,2386.039620401448
2.08,714.0,15.0,4342.937684322529
2.5,781.0,18.0,7208.698502927139
3.57,933.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.14,516.0,3.0,223.6080931070095
1.25,562.0,6.0,634.2666128087552
2.08,713.0,15.0,4342.937684322529
2.5,779.0,18.0,7208.698502927139
3.56,932.0,24.0,16502.78620930718
4.48,1100.0,27.0,27140.00949485198
1.13,499.0,3.0,160.34688903922302
1.66,644.0,12.0,2386.039620401448
2.08,712.0,15.0,4342.937684322529
2.5,778.0,18.0,7208.698502927139
4.48,1100.0,27.0,27140.00949485198
1.11,478.0,3.0,93.85822211864864
1.23,548.0,6.0,575.3826945049707
1.65,643.0,12.0,2386.039620401448
2.07,711.0,15.0,4342.937684322529
2.5,777.0,18.0,7208.698502927139
2.96,832.0,21.0,10945.308805106837
1.09,456.0,3.0,40.273123423918754
1.23,546.0,6.0,568.3141110343936
1.65,642.0,12.0,2386.039620401448
2.07,710.0,15.0,4342.937684322529
1.65,641.0,12.0,2386.039620401448
2.07,709.0,15.0,4342.937684322529
2.5,775.0,18.0,7208.698502927139
2.95,830.0,21.0,10945.308805106837
1.1,451.0,3.0,59.093357814024
1.22,533.0,6.0,514.5928766580081
1.39,586.0,9.0,1219.7966515848211
1.65,640.0,12.0,2386.039620401448
2.07,708.0,15.0,4342.937684322529
1.13,468.0,3.0,153.18405778903832
1.22,527.0,6.0,494.80084294039244
2.07,707.0,15.0,4342.937684322529
4.48,1090.0,27.0,27140.00949485198
1.13,465.0,3.0,141.9120233479581
1.21,522.0,6.0,475.00880922277673
2.95,827.0,21.0,10945.308805106837
